file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
RM_StethoScope_Run12_Test3-71600.LAS,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:13:39:04
Statoil_Snorre_34_7-P-39_A_8.5in_FPWD_RM_Test_point_table-71618.xls,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:14:00:27
themedata-71624.thmx,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_7_P_39_A,2016/07/01,AUTOMATIC,SCHLUMBERGER,RAW,,,FINAL,,,,,8 1/2 in,,,,,2016/07/11:14:08:07
WL_RAW_PROD_AAC-AIMG-CCL-GR_2017-05-11_1-3_INF_1-97354.ASC,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_4_L_4_HT2,2017/05/11,AUTOMATIC,SCHLUMBERGER,RAW,,,CEM/CSG_EVAL,,,,,,,.,,,2017/06/28:09:09:21
WL_RAW_PROD_AAC-AIMG-CCL-GR_2017-05-13_1-4_INF_1-97364.ASC,/project/recall/prod/arc/norway_a/files/SNORRE/NO_34_4_L_4_HT2,2017/05/13,AUTOMATIC,SCHLUMBERGER,RAW,,,CEM/CSG_EVAL,,,,,,,.,,,2017/06/28:09:39:49
MUD_LOG_1_INF_1-70542.ASC,/project/recall/prod/arc/norway_a/files/JOHAN_SVERDRUP/NO_16_2_D_11,2016/03/10,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,Unspecified,,,,,2016/06/20:12:08:46
MUD_LOG_1_INF_1-70555.ASC,/project/recall/prod/arc/norway_a/files/JOHAN_SVERDRUP/NO_16_2_D_11_T2,2016/03/10,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,Unspecified,,,,,2016/06/20:12:23:25
STATOIL_RAW_DATA_INF_1-32587.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_44_B,2015/03/16,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/05/29:15:30:02
WL_RAW_BHPR-MECH_TIME_MWD_1-32578.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_44_B,2015/03/16,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/05/29:15:19:56
WL_RAW_BHPR-MECH_TIME_MWD_2-32579.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_44_B,2015/03/16,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/05/29:15:21:13
WL_RAW_BHPR-MECH_TIME_MWD_3-32580.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_44_B,2015/03/16,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/05/29:15:22:23
WLC_RAW_BHPR-CAL-DEN-GR-MECH-NEU-REMP_MWD_1_INF_1-37086.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_1,2015/04/19,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/07/23:10:26:19
WL_RAW_BHPR-MECH_TIME_MWD_1-37034.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_1,2015/04/19,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/07/23:09:53:46
WL_RAW_BHPR-MECH_TIME_MWD_2-37039.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_1,2015/04/19,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/07/23:09:59:38
WL_RAW_BHPR-MECH_TIME_MWD_4-37048.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_1,2015/04/19,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/07/23:10:12:00
7-A-1_-_Formation_Pressure_LWD_and_WL-37180.xls,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_1,2015/04/19,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/07/27:13:35:48
WLC_RAW_BHPR-CAL-DEN-GR-MECH-NEU-REMP_MWD_1_INF_1-45980.ASC,/project/recall/prod/arc/norway_a/files/HEIDRUN/NO_6507_7_A_20_A,2015/07/08,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/10/13:12:35:53
